timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659015636824,497,GET TOKEN-5,200,OK,Thread Group 1-3,text,true,,17500,374,17,17,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/css/select2.min.css,494,0,446
1659015637337,119,GET TOKEN-8,200,OK,Thread Group 1-1,text,true,,90637,367,17,17,https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js,114,0,71
1659015637420,93,GET TOKEN-11,200,OK,Thread Group 1-6,text,true,,74434,372,17,17,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js,88,0,52
1659015636825,512,GET TOKEN-6,200,OK,Thread Group 1-3,text,true,,72830,350,17,17,https://code.jquery.com/jquery-3.6.0.slim.min.js,480,0,446
1659015637345,111,GET TOKEN-9,200,OK,Thread Group 1-1,text,true,,91004,363,17,17,https://cdn.datatables.net/1.12.1/js/jquery.dataTables.min.js,94,0,61
1659015636847,488,GET TOKEN-7,200,OK,Thread Group 1-3,text,true,,85417,378,17,17,https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js,454,0,415
1659015637488,16,GET TOKEN-14,200,OK,Thread Group 1-4,text,true,,909,399,17,17,http://localhost/dist/accountSwitcher.min.js,16,0,0
1659015637453,61,GET TOKEN-12,200,OK,Thread Group 1-6,text,true,,1518,397,17,17,http://localhost/static/js/sb-admin.min.js,61,0,1
1659015637337,105,GET TOKEN-8,200,OK,Thread Group 1-3,text,true,,90630,367,17,17,https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js,93,0,65
1659015637344,120,GET TOKEN-9,200,OK,Thread Group 1-3,text,true,,91004,363,17,17,https://cdn.datatables.net/1.12.1/js/jquery.dataTables.min.js,110,0,81
1659015637415,92,GET TOKEN-10,200,OK,Thread Group 1-1,text,true,,5242,367,17,17,https://cdn.datatables.net/1.12.1/js/dataTables.bootstrap4.min.js,91,0,50
1659015637467,34,GET TOKEN-13,200,OK,Thread Group 1-6,text,true,,1389,387,17,17,http://localhost/dist/app.min.js,34,0,0
1659015637414,92,GET TOKEN-10,200,OK,Thread Group 1-3,text,true,,5242,367,17,17,https://cdn.datatables.net/1.12.1/js/dataTables.bootstrap4.min.js,92,0,56
1659015637414,94,GET TOKEN-11,200,OK,Thread Group 1-1,text,true,,74434,372,17,17,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js,90,0,51
1659015637421,93,GET TOKEN-11,200,OK,Thread Group 1-3,text,true,,74430,372,17,17,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js,89,0,49
1659015636602,985,GET TOKEN,200,OK,Thread Group 1-2,text,true,,894679,5989,17,17,http://localhost/login,152,0,14
1659015637442,78,GET TOKEN-12,200,OK,Thread Group 1-3,text,true,,1518,397,17,17,http://localhost/static/js/sb-admin.min.js,78,0,1
1659015637456,49,GET TOKEN-12,200,OK,Thread Group 1-1,text,true,,1518,397,17,17,http://localhost/static/js/sb-admin.min.js,49,0,1
1659015637468,28,GET TOKEN-13,200,OK,Thread Group 1-3,text,true,,1389,387,17,17,http://localhost/dist/app.min.js,28,0,0
1659015637489,38,GET TOKEN-14,200,OK,Thread Group 1-6,text,true,,909,399,17,17,http://localhost/dist/accountSwitcher.min.js,38,0,1
1659015636602,153,GET TOKEN-0,200,OK,Thread Group 1-2,text,true,,59942,325,17,17,http://localhost/login,152,0,14
1659015637457,37,GET TOKEN-13,200,OK,Thread Group 1-1,text,true,,1389,387,17,17,http://localhost/dist/app.min.js,37,0,0
1659015636822,20,GET TOKEN-1,200,OK,Thread Group 1-2,bin,true,,110571,390,17,17,http://localhost/static/favicon.ico,12,0,0
1659015636822,528,GET TOKEN-2,200,OK,Thread Group 1-2,text,true,,85090,381,17,17,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css,521,0,449
1659015637416,93,GET TOKEN-11,200,OK,Thread Group 1-5,text,true,,74432,372,17,17,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js,89,0,51
1659015636823,764,GET TOKEN-3,200,OK,Thread Group 1-2,text,true,,186579,770,17,17,http://localhost/dist/style.min.css,14,0,1
1659015637447,50,GET TOKEN-12,200,OK,Thread Group 1-5,text,true,,1518,397,17,17,http://localhost/static/js/sb-admin.min.js,50,0,1
1659015636823,30,GET TOKEN-0,200,OK,,text,true,,182430,390,0,0,http://localhost/dist/style.min.css,14,0,1
1659015637461,31,GET TOKEN-13,200,OK,Thread Group 1-5,text,true,,1389,387,17,17,http://localhost/dist/app.min.js,31,0,0
1659015637498,89,GET TOKEN-1,200,OK,ResDownload-Thread-10,text,true,,4149,380,0,0,https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500&display=swap,88,0,66
1659015637490,11,GET TOKEN-14,200,OK,Thread Group 1-5,text,true,,909,399,17,17,http://localhost/dist/accountSwitcher.min.js,11,0,0
1659015636824,480,GET TOKEN-4,200,OK,Thread Group 1-2,text,true,,11624,369,17,17,https://cdn.datatables.net/1.12.1/css/dataTables.bootstrap4.min.css,474,0,441
1659015636825,500,GET TOKEN-5,200,OK,Thread Group 1-2,text,true,,17504,374,17,17,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/css/select2.min.css,473,0,431
